Sample,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,IS
TCGA_A6_5660,-0.021575471,0.036418997,0.005504059,0.001025691,0.004173871,-0.005901088,0.002665318,-0.001566683,-0.000820294,0.001073648,0.00587425,-0.006587031,0.000309097,-0.000742467,6.10E-05,0.000621044,-0.000174339,0.000177442,-0.00054037,0.003989679,-0.000735079,-6.39E-05,3
TCGA_A6_5662,-0.000556008,0.001933371,4.07E-05,-0.000284479,0.000197349,8.11E-05,0.001249943,-0.00037969,-8.12E-05,-0.000105291,0.001532551,-0.001571626,-2.77E-05,-0.000454389,-1.25E-05,0.000254866,-0.000148897,4.09E-05,-0.001254702,0.001253123,-0.000407065,1.98E-05,3
TCGA_A6_5666,-0.002114664,0.003945535,0.000896221,8.27E-06,0.000432983,-0.000618173,0.001017253,-0.000167453,-0.000256642,-2.67E-05,0.001076309,-0.001047484,6.99E-05,-1.28E-05,7.59E-05,0.000200292,-5.58E-05,1.31E-05,-0.000172618,0.000570515,-0.000203515,3.64E-05,3
TCGA_A6_5667,-0.000592529,0.001989372,0.000343933,-4.24E-05,-0.000331489,0.000376667,0.000337844,-7.00E-05,0.000116393,-1.52E-05,0.001090284,-0.001181368,-1.98E-05,-0.000146445,9.67E-05,0.000166723,4.81E-05,8.25E-05,-0.000721312,0.001029226,-0.00026172,3.24E-05,3
TCGA_A6_6142,-0.004793382,0.009125329,0.001397278,7.51E-05,0.000496497,-0.000658167,0.000571548,-0.000442457,5.61E-05,9.54E-05,0.002614636,-0.002734624,0.000146796,0.000102754,9.68E-05,0.000318627,-6.44E-05,7.29E-05,-0.000486065,0.002291175,-0.000432803,9.40E-05,3
TCGA_A6_6652,0.000339404,0.000145332,-0.000206724,-9.72E-05,-0.000157151,0.000298871,0.000125724,-0.000134556,0.000158023,1.22E-05,0.000596191,-0.000662013,3.41E-05,0.000194718,-7.77E-06,-0.000105946,-4.11E-05,-6.53E-06,-0.000660309,0.000679793,-0.000234543,-3.19E-05,3
TCGA_A6_6653,-0.006747371,0.012029354,0.001712091,0.000227036,0.00063275,-0.001019104,0.000906642,-0.000582554,-5.39E-05,0.000318649,0.002703444,-0.002874493,-2.42E-05,-1.47E-05,0.000145823,7.08E-05,0.000808153,4.36E-05,-0.000478072,0.002137148,-0.000511497,7.81E-06,3
TCGA_A6_A56B,0.000125544,0.000466234,-0.000110344,0.000153176,0.000132698,-0.000180916,0.000222553,-0.000120587,9.07E-05,-1.65E-05,0.000306279,-0.000350152,-0.000421036,-0.000222874,1.26E-05,0.00158854,0.000351582,-5.13E-05,-5.94E-05,0.000222621,-0.000190061,8.10E-05,3
TCGA_A6_A565,-0.015700102,0.026770032,0.004430355,0.000865692,0.002911051,-0.004287592,0.00191428,-0.000959968,-0.000725407,0.000677335,0.004281588,-0.004720487,0.000174059,-0.001099541,4.85E-05,0.000792784,-0.000224412,0.000208752,-7.36E-06,0.002755258,-0.000394247,7.46E-06,3
TCGA_A6_A566,-0.020047142,0.033903715,0.005340368,0.001480687,0.00275227,-0.005668158,0.0026082,-0.000891204,0.000113083,0.000970284,0.006447804,-0.007091873,-0.000849334,0.004686623,0.000239775,0.003025328,0.003063829,-0.000282109,-0.000855772,0.0041629,-0.000685777,-8.69E-05,3
TCGA_A6_A567,-0.001928164,0.004014904,0.000605011,0.000171931,0.000328472,-0.000499234,0.000346516,-0.00014889,-0.000103473,0.000109906,0.000846682,-0.000942831,7.01E-05,-0.000194291,3.83E-05,0.0002881,-4.40E-05,3.60E-05,-5.11E-05,0.000583659,-0.000171307,-1.34E-05,3
TCGA_AA_3511,-0.024161372,0.041052419,0.007361509,0.001002843,0.004214431,-0.006423225,0.002756129,-0.001498072,-0.001004769,0.001620044,0.006182833,-0.007220135,0.00044868,-0.000466807,4.97E-05,-0.000237603,-0.000490852,0.000211913,-0.000876964,0.004328403,-0.000815063,-0.000216702,3
TCGA_AA_3514,-0.032752794,0.054904421,0.008814882,0.002059904,0.006115394,-0.009924659,0.00380291,-0.001750352,-0.001024754,0.00151479,0.008287532,-0.009240259,1.06E-05,0.001381478,0.000123251,0.001466231,-0.000519757,0.000186217,0.000154304,0.005153442,-0.000776586,-0.000122012,3
TCGA_AA_3526,-0.021498866,0.036677402,0.006154594,0.000985268,0.002774318,-0.004745631,0.003871944,-0.000677661,-0.001313377,0.000689143,0.007013551,-0.007546248,-0.000308232,-0.00186365,0.000956097,0.001240648,0.000543994,0.00043853,-0.001429779,0.004795214,-0.001116484,9.53E-05,3
TCGA_AA_3529,-0.021128506,0.035889727,0.006226926,0.001111376,0.004231414,-0.006198135,0.003144798,-0.001331176,-0.001130174,0.000876258,0.005767384,-0.006312698,0.000213246,-0.001243027,4.09E-05,0.001129135,-0.000131489,0.000213756,0.000103958,0.003539517,-0.000664651,-1.27E-05,3
TCGA_AA_3531,-0.013954494,0.023938323,0.00387372,0.000786547,0.002757199,-0.004124525,0.002554919,-0.000925069,-0.0007649,0.000485208,0.004050907,-0.004342961,0.000170245,-0.000763108,9.15E-05,0.000670245,-0.000120639,0.000130805,0.000232014,0.002318029,-0.00039998,-5.93E-06,3
TCGA_AA_3561,-0.031710407,0.052955836,0.008401707,0.001617578,0.006139787,-0.008845224,0.003759277,-0.001973296,-0.001388144,0.001434618,0.008335235,-0.009262413,0.000826768,-0.002173814,0.000217914,0.001183161,-0.000382688,0.000352614,-0.000424345,0.005520448,-0.001075447,-7.88E-05,3
TCGA_AA_3663,-0.003150019,0.005823861,0.000683525,-0.000192961,-0.000419369,0.00068866,0.000402064,-0.000509105,0.000310869,0.00017348,0.002193139,-0.002408466,-0.000134271,-0.000480797,0.00015725,-0.00013745,0.001687911,-4.83E-05,-0.00120223,0.002413356,-0.000676356,3.60E-05,3
TCGA_AA_3675,-0.01949355,0.033092838,0.005353404,0.000753368,0.003549207,-0.004857518,0.002381731,-0.001352043,-0.000740017,0.000808833,0.006120351,-0.006726108,6.96E-05,-0.001626175,0.000116442,0.000855581,-0.000245099,0.000207462,-0.001636439,0.004619746,-0.000846987,1.78E-05,3
TCGA_AA_3693,-0.006484775,0.011232352,0.001631398,0.000373812,0.001157474,-0.001740157,0.001996946,-0.000547214,-0.000410971,0.000101401,0.002301706,-0.002368695,8.88E-05,-0.00035899,8.41E-05,0.000348523,0.000156784,5.69E-05,9.95E-05,0.001190943,-0.000311353,-4.47E-06,3
TCGA_AA_3695,-0.001995442,0.004405446,-0.000868011,-0.002093317,-0.001808116,0.004936001,-0.000389165,-0.001938154,0.002201963,-0.000638303,0.008658793,-0.008893686,-9.97E-05,-0.002818012,-0.000330599,-0.001667503,-0.000846357,0.000598634,-0.001107528,0.011027197,-0.00428648,0.000674265,3
TCGA_AA_3696,-0.001513936,0.003157021,0.000117635,-0.00037298,0.000733529,-0.000448201,0.00236975,-0.000653258,-0.000209806,-0.000270041,0.002101093,-0.001954731,2.79E-05,-0.000306372,-4.37E-05,-0.000127733,-0.000137881,-5.37E-05,-0.001157922,0.001442155,-0.000631403,-1.00E-05,3
TCGA_AA_3712,-0.009670798,0.017173996,0.002716008,0.000473019,0.001512055,-0.002216627,0.001443273,-0.000642784,-0.000370537,0.000368075,0.003611212,-0.003884309,-6.95E-05,-0.000938975,0.000166674,0.00077502,0.000678374,5.99E-05,-0.000919104,0.002686092,-0.000551403,3.74E-05,3
TCGA_AA_3821,-0.008213146,0.014343898,0.002174479,0.000509823,0.001057673,-0.001665091,0.001054831,-0.000490393,-0.000247953,0.000264764,0.002736932,-0.00290034,1.72E-05,-0.000455804,0.000254872,0.000737695,0.000779062,1.60E-05,-0.000140518,0.001793799,-0.000382151,4.88E-05,3
TCGA_AA_3842,-0.005214286,0.009088761,0.001338874,0.000576353,0.000362678,-0.001168208,0.000749909,-9.54E-05,-5.40E-05,0.000189235,0.001638997,-0.001884869,-0.000155035,-6.90E-05,0.000226527,0.000742218,0.000748147,-1.07E-05,-0.000273097,0.001196491,-0.000306839,1.29E-05,3
TCGA_AA_3864,-0.028121274,0.047751528,0.008339767,0.001324244,0.004384761,-0.006588945,0.003244011,-0.001671703,-0.001209345,0.001105106,0.008330561,-0.009070283,7.32E-05,-0.002058526,0.000299484,0.001195173,0.000493411,0.000228578,-0.001225983,0.005887564,-0.001079532,4.82E-05,3
TCGA_AA_3952,-0.02336131,0.041404911,0.006049577,0.001054584,0.004627658,-0.006365436,0.00287964,-0.001906396,-0.00082009,0.001089577,0.007778906,-0.008549587,0.00039803,-0.002099645,9.70E-05,0.001110227,-0.000479308,0.00025828,-0.000663639,0.00571526,-0.001211769,7.69E-05,3
TCGA_AA_3972,-0.009859718,0.016822052,0.002564631,0.000510852,0.001904813,-0.002698734,0.001154673,-0.000705648,-0.000380905,0.000431362,0.002898184,-0.003178797,3.66E-05,-0.000804422,3.49E-05,0.000698022,0.00016695,0.000117917,-0.00025875,0.002045977,-0.000393094,5.05E-05,3
TCGA_AA_3973,-0.015785711,0.026733132,0.004193978,0.000955489,0.002812352,-0.004303648,0.00193883,-0.000969358,-0.000556769,0.000669372,0.004307107,-0.004751014,0.000184975,-0.00076456,9.93E-05,0.000691657,-0.000200401,0.000144966,-0.000155467,0.002797049,-0.000456011,-2.77E-05,3
TCGA_AA_3979,-0.0027255,0.004999076,0.000518159,-0.000271893,0.000283094,-0.000131838,0.000509665,-0.000448413,0.000113057,0.000198628,0.001788989,-0.002031031,-0.000142385,-0.000472054,2.67E-05,-0.000113887,-0.000142299,0.000163879,-0.001813998,0.001871996,-0.000228122,1.27E-06,3
TCGA_AA_3980,-0.016691026,0.028795762,0.004105558,0.000650914,0.000894992,-0.001836197,0.002720767,-0.000944088,4.59E-05,0.000631738,0.007624077,-0.008416454,-0.000487595,-0.002169069,0.00056981,-0.000102021,0.001844033,0.00012453,-0.005216249,0.006700452,-0.001434001,0.000153986,3
